iter	RMSE
0	90868.98889
1	84010.29025
2	78221.43193
3	72721.34561
4	67846.64671
5	63614.55332
6	59549.36518
7	55865.14541
8	52583.33663
9	49522.29125
10	46760.91872
11	44267.88184
12	42060.75936
13	40010.80677
14	38084.05291
15	36401.09927
16	34902.53064
17	33577.74896
18	32307.64376
19	31207.73412
20	30162.11749
21	29144.96414
22	28252.20137
23	27464.53422
24	26799.11944
25	26177.40807
26	25628.07811
27	25082.96462
28	24592.22534
29	24188.52036
30	23797.00718
31	23463.03579
32	23144.17608
33	22861.02063
34	22603.16676
35	22374.78414
36	22177.01659
37	21982.89313
38	21842.98286
39	21694.17911
40	21565.1372
41	21435.64212
42	21313.7084
43	21216.16052
44	21133.20626
45	21038.5243
46	20952.26059
47	20880.40827
48	20803.86139
49	20753.09005
50	20692.67442
51	20643.82246
52	20594.98754
53	20553.85836
54	20515.32933
55	20483.43831
56	20444.1592
57	20417.9762
58	20398.12626
59	20370.64715
60	20345.95699
61	20324.81806
62	20308.18618
63	20289.0057
64	20273.35995
65	20259.22015
66	20242.65475
67	20231.58178
68	20217.13884
69	20203.14408
70	20191.06554
71	20180.11103
72	20171.23031
73	20162.12579
74	20152.00232
75	20139.85581
76	20126.20782
77	20112.88693
78	20103.43418
79	20096.33106
80	20086.71028
81	20078.98133
82	20070.27883
83	20061.17769
84	20054.37695
85	20046.19616
86	20040.84375
87	20033.55419
88	20029.70158
89	20021.11366
90	20014.08173
91	20006.01754
92	20001.18447
93	19991.28029
94	19981.71849
95	19976.55229
96	19969.58245
97	19959.768
98	19949.13626
99	19943.44444
