iter	Passed	Remaining
0	138	13748
1	143	7030
2	148	4806
3	160	3855
4	164	3130
5	169	2662
6	181	2409
7	188	2164
8	194	1964
9	201	1816
10	204	1656
11	211	1551
12	220	1478
13	225	1386
14	229	1301
15	236	1240
16	239	1167
17	241	1102
18	245	1044
19	253	1014
20	258	971
21	261	926
22	266	891
23	273	866
24	277	833
25	285	811
26	290	785
27	294	756
28	299	732
29	302	705
30	305	679
31	308	655
32	318	646
33	323	628
34	340	632
35	348	618
36	352	599
37	356	582
38	363	567
39	366	549
40	372	535
41	382	528
42	387	513
43	395	503
44	399	487
45	402	471
46	404	456
47	410	444
48	412	429
49	415	415
50	426	410
51	430	397
52	433	384
53	438	373
54	443	362
55	446	350
56	449	339
57	454	328
58	456	317
59	459	306
60	464	297
61	469	287
62	471	277
63	475	267
64	481	259
65	486	250
66	489	240
67	492	231
68	498	223
69	501	215
70	504	206
71	507	197
72	510	188
73	516	181
74	522	174
75	527	166
76	535	160
77	540	152
78	546	145
79	550	137
80	553	129
81	557	122
82	567	116
83	575	109
84	585	103
85	589	95
86	594	88
87	601	82
88	604	74
89	607	67
90	615	60
91	619	53
92	623	46
93	633	40
94	637	33
95	645	26
96	652	20
97	665	13
98	674	6
99	679	0
